epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,84.5683,0.72892,0.60673,0.98329,0.92557,0.93767,0.96144,0.74905,0.8462,0.67286,1.03295,0.000759318,0.000759318,0.000759318
57,86.1657,0.67915,0.56732,0.98068,0.89875,0.9282,0.95682,0.76021,0.79923,0.6479,1.02304,0.000742815,0.000742815,0.000742815
58,87.689,0.6972,0.6159,0.97863,0.91747,0.93196,0.95759,0.75792,0.8092,0.63841,1.01785,0.000726312,0.000726312,0.000726312
59,89.1427,0.70334,0.57429,0.96054,0.92026,0.94249,0.96661,0.76273,0.81159,0.65241,0.99697,0.000709809,0.000709809,0.000709809
60,90.6687,0.70834,0.56423,0.95421,0.94821,0.95075,0.96904,0.76832,0.83211,0.65706,1.01451,0.000693305,0.000693305,0.000693305
61,92.2109,0.69444,0.56558,0.96743,0.95437,0.95832,0.97677,0.78371,0.78967,0.61172,0.99672,0.000676802,0.000676802,0.000676802
62,93.7383,0.68016,0.53992,0.95784,0.92606,0.94664,0.96402,0.7682,0.79921,0.62156,0.99056,0.000660299,0.000660299,0.000660299
63,95.1883,0.68906,0.54452,0.94531,0.94526,0.95451,0.95766,0.76582,0.7757,0.61543,0.9821,0.000643795,0.000643795,0.000643795
64,96.7374,0.64296,0.52883,0.94123,0.92723,0.95451,0.96255,0.76913,0.77211,0.59233,0.98364,0.000627292,0.000627292,0.000627292
65,98.1836,0.66088,0.56563,0.9542,0.9183,0.95827,0.95258,0.75963,0.80643,0.59772,1.0056,0.000610789,0.000610789,0.000610789
66,99.6378,0.66965,0.56496,0.97804,0.90291,0.94016,0.95703,0.76758,0.76654,0.61118,0.99528,0.000594286,0.000594286,0.000594286
67,101.104,0.68097,0.56972,0.9838,0.88515,0.91692,0.95451,0.75824,0.75402,0.64676,0.98282,0.000577782,0.000577782,0.000577782
68,102.57,0.64652,0.5602,0.95379,0.87004,0.93879,0.96966,0.77893,0.71534,0.65011,0.96791,0.000561279,0.000561279,0.000561279
69,104.026,0.65424,0.52947,0.95441,0.93672,0.92407,0.96985,0.77634,0.71451,0.57027,0.95917,0.000544776,0.000544776,0.000544776
70,105.485,0.61867,0.50055,0.93944,0.92903,0.9391,0.97501,0.78233,0.7302,0.54406,0.96261,0.000528272,0.000528272,0.000528272
71,107.032,0.6213,0.51653,0.94613,0.93232,0.95041,0.97657,0.78062,0.73054,0.54058,0.9617,0.000511769,0.000511769,0.000511769
72,108.49,0.60868,0.49644,0.92687,0.92653,0.96579,0.97174,0.79995,0.68262,0.51963,0.94574,0.000495266,0.000495266,0.000495266
73,110.023,0.60557,0.47777,0.92066,0.91508,0.95325,0.96751,0.78767,0.70207,0.5368,0.95022,0.000478762,0.000478762,0.000478762
74,111.476,0.64003,0.52496,0.93491,0.94156,0.93948,0.97069,0.784,0.72184,0.56113,0.95197,0.000462259,0.000462259,0.000462259
75,112.92,0.64556,0.53468,0.95786,0.94303,0.95827,0.97825,0.78881,0.74532,0.56704,0.96334,0.000445756,0.000445756,0.000445756
76,114.386,0.65109,0.51144,0.92906,0.9573,0.95106,0.9754,0.78941,0.71545,0.58902,0.96612,0.000429253,0.000429253,0.000429253
